In which country were you born?,In which city were you born?,"In which languages (spoken, not programming!) are you proficient? (Please list languages separated by commas). ",Which is your preferred OS?,Which is your preferred mobile OS?,"What field(s) do you think can benefit the most from visualization? (If you have multiple answers, please separate them with a comma)",Please rank the animals you like most in the following list.   [First Choice],Please rank the animals you like most in the following list.   [Second Choice],Please rank the animals you like most in the following list.   [Third Choice ],What is your favorite color?,What is your favorite number?,What temperature is it outside right now? (In Celsius) ,"On average, how many cups of coffee do you drink each day?",What time do you typically wake up? ,What time do you typically go to bed? ,What is your favorite visualization? 
,,,,,,,,,,,,,,,
United States,"Los Angeles, California",English,Apple,Apple iOS,,Flying squirrel,Dolphin,Cat,Blue,97,2,0,10:00:00 AM,12:00:00 AM,
Netherlands,Haarlem,"Dutch, English",Windows,Apple iOS,Journalism,Sea Turtle,Hedgehog,Dog,Blue,8,1,1,8:00:00 AM,12:00:00 PM,I'm not sure. FiveThirtyEight.com does cool visualizations regularly though.
United States,"Rockville, Maryland","English, Korean",Windows,Apple iOS,Philosophy,Dolphin,Dog,Sea Turtle,Green,9,,0.5,8:00:00 AM,12:00:00 AM,Pie Charts
United States,Warwick,English,Windows,Apple iOS,Finance,Dog,Elephant,Dolphin,Blue,3,3,1,9:00:00 AM,1:00:00 AM,Maps
United States,"Needham, MA",N/A,Apple,Apple iOS,Data Science,Hedgehog,Elephant,Llama,Blue,3,3,0,9:00:00 AM,12:00:00 AM,
United States of America,Boston,English,Apple,Apple iOS,"Sports industry, health care, research",Elephant,Cat,Hedgehog,Green,8,2.2,0,9:00:00 AM,12:00:00 AM,Pie charts
India,Mumbai,"English, Hindi, Gujarati",Apple,Apple iOS,"Computer science, data analysis, finance, healthcare, retail, transportation and weather",Dolphin,Cat,Elephant,Blue,7 and 2,2,0.5,8:00:00 AM,10:00:00 PM,Gravitational Waves by Science News
United States,Edison,English,Windows,Apple iOS,"Biology, Neurobiology, Buisness",Dog,Dolphin,Elephant,Green,13,3,1,9:00:00 AM,11:30:00 PM,Bar graph
US,NYC,"English, Chinese",Apple,Apple iOS,"research, biology, web development",Sea Turtle,Dolphin,Elephant,purple,72,2,1,9:00:00 AM,12:30:00 AM,maps
U.S.,Brighton,Chinese,Windows,Apple iOS,"healthcare, finance",Dog,Dolphin,Flying squirrel,green,3,2,1,8:00:00 AM,12:00:00 AM,heat map
India,Mumbai ,"English, Hindi, Spanish",Apple,Apple iOS,All given that data analysis is vital for growth in all types of fields ,Elephant,Dolphin,Llama,Purple ,20,2 degrees ,1,8:00:00 AM,11:00:00 PM,
United States,"Westwood, NJ","English, Chinese",Apple,Apple iOS,"Business field, medical field",Dolphin,Cat,Flying squirrel,Blue,28,1 degree,0,10:30:00 AM,1:00:00 AM,Pie Chart
United States ,Newton ,"English, can understand Hindi and Mandarin Chinese",Apple,Apple iOS,"Business, Medical field, Sports industry ",Llama,Dolphin,Elephant,Rose gold ,26,2 degrees C ,1,6:50:00 AM,12:00:00 AM,Interactive charts 
United States,Princeton,"English, Chinese, French",Apple,Apple iOS,Healthcare,Cat,Llama,Hedgehog,Red,9,2,0,10:00:00 AM,1:00:00 AM,bar chart
America,New Haven,"english, urdu",Apple,Apple iOS,"Finance, Health, History",Cat,Llama,Sea Turtle,Blue,138,0.55,0,7:00:00 AM,11:30:00 AM,Ones with bubbles and heat maps
US,Edison,English,Apple,Apple iOS,"Business,Healthcare",Flying squirrel,Dog,Cat,Black,8,1,0,9:00:00 AM,1:00:00 AM,Scatter Plots
,,,,,,,,,,,,,,,
US,Washington DC,Thai,Apple,Apple iOS,,Llama,Sea Turtle,Elephant,Pink,111,-1,3,6:00:00 AM,12:00:00 AM,
US,Warwick,English,Windows,Apple iOS,Finance,Dog,Elephant,Dolphin,Blue,3,3,1,9:00:00 AM,1:00:00 AM,Maps
USA,"small town in Long Island, NY","English, Hindi, French",Apple,Apple iOS,"Epidemiology, Health Science, Finance",Cat,Flying squirrel,Sea Turtle,Green,57,-2,1,9:00:00 AM,1:00:00 AM,Bar graphs
U.S.,"Danbury, CT","English, Mandarin",Apple,Apple iOS,"Finance, Healthcare",Elephant,Dolphin,Flying squirrel,Blue,17,-7,0,8:20:00 AM,1:10:00 AM,Scatterplot
US,,"English, Hindi, Spanish",Apple,Apple iOS,"Science, Business, every field",Elephant,Dolphin,Sea Turtle,blue,7,,0,10:00:00 AM,1:00:00 AM,graph
United States,Chicago,English,Apple,Apple iOS,,Hedgehog,Elephant,Llama,grey,25,-9.4,0,9:00:00 AM,11:30:00 PM,
United States,Chicago,English,Apple,Apple iOS,,Hedgehog,Elephant,Llama,grey,25,-9.4,0,9:00:00 AM,11:30:00 PM,
United States,"New Bedford, Massachusetts ",English,Apple,Apple iOS,Healthcare,Dog,Elephant,Hedgehog,Blue,10,-4,1,7:30:00 AM,9:00:00 PM,Visualizations that are interactive and very creative and artistic
USA,"Denver, CO",english,Apple,Apple iOS,data analyst ,Dolphin,Elephant,Hedgehog,Red,28,-7.8,3,8:30:00 AM,11:00:00 PM,Bar graph
United States,New York City,"Cantonese, Mandarin, English",Windows,Apple iOS,"Healthcare, Social Services, Science, Technology",Cat,Llama,Hedgehog,Green,24,-7,0,9:30:00 AM,2:30:00 AM,Pie chart
China,Shanghai,Chinese,Apple,Apple iOS,Can clearly show the complex data in a precise and easily understandable way ,Cat,Dolphin,Llama,Baby blue,8,-7,0,10:00:00 AM,2:00:00 AM,
United States,New York City,Just English,Apple,Apple iOS,I would say the medical field and then the government.,Hedgehog,Sea Turtle,Cat,Purple,4,-7 Degrees,0,9:00:00 AM,1:30:00 AM,I'm not really sure I have a favorite visualization but I always think the interactive maps they use during elections are really cool!
United States,New York City,Just English,Apple,Apple iOS,The medical field and the government.,Hedgehog,Sea Turtle,Cat,Purple,4,-7 Degrees,0,9:00:00 AM,1:30:00 AM,I've never been asked this but I really like the interactive maps they have for the presidential elections!
Greece,Athens,"Greek, English",Apple,Apple iOS,Marketing,Dog,Cat,Sea Turtle,blue,22,-7,0,9:30:00 AM,1:00:00 AM,choropleth map
United States,New York City (Manhattan),English,Apple,Apple iOS,"Medical, finances/banking, earth science (geography, meterology, climate, etc), entertainment & media",Cat,Flying squirrel,Llama,Red,17,-7.222,0,10:00:00 AM,2:00:00 AM,NYC subway map
United States,Manhattan,"English, Spanish",Apple,Apple iOS,"Medical, business/finance, environmental sciences (climates, sea levels, etc.)",Cat,Flying squirrel,Llama,Red,17,-7.222,0,10:00:00 AM,2:00:00 AM,NYC Subway Map!
US,Washington DC,"Thai, English, French",Apple,Apple iOS,Healthcare,Llama,Sea Turtle,Elephant,Pink,111,-2,3,6:00:00 AM,1:00:00 AM,
U.S.,"New York City, NY",English,Apple,Apple iOS,"Healthcare, Scientific Research, Economics, Finance",Cat,Llama,Elephant,Green,3,-6,0,9:00:00 AM,11:30:00 PM,Violin plot
United States,"Boston, MA","English, Chinese",Apple,Apple iOS,"Finance, marketing, psychology",Flying squirrel,Llama,Cat,Black,2,-5,2,9:00:00 AM,1:00:00 AM,I enjoy scatterplots
USA,"Boston, MA","English, Chinese",Apple,Apple iOS,"Finance, Marketing, Psychology",Flying squirrel,Llama,Cat,Black,2,-5,2,9:00:00 AM,1:00:00 AM,Scatterplots
United States ,"Pittsburgh, PA ",English,Windows,Apple iOS,"Neurology, Logistics, Environmental, Finance, AR",Hedgehog,Sea Turtle,Dolphin,Purple,21,-3,1.5,8:15:00 AM,12:30:00 AM,correlation and causation website https://www.tylervigen.com/spurious-correlations
US,"Dallas, TX",English,Windows,Apple iOS,,Dog,Dolphin,Hedgehog,Pink,11,-3,2,9:00:00 AM,12:00:00 AM,
United States ,Sacramento,English,Apple,Apple iOS,"Sports, Business, Medicine",Cat,Llama,Dolphin,Purple,9,-4,2,8:00:00 AM,11:00:00 PM,Donut chart
India,Kolkata,"English, Hindi, Bengali",Windows,Andriod,"Frontend Web Dev, Data Science",Cat,Dog,Elephant,Black,69,-3,0,8:00:00 AM,11:00:00 PM,Scatter Plot
Brazil,São Paulo,"Portuguese, English, Spanish",Apple,Apple iOS,Finance,Elephant,Sea Turtle,Dolphin,Blue,69,17,2,8:00:00 AM,12:00:00 AM,My IG profile pic
United States,Philadelphia,English,Windows,Apple iOS,,Sea Turtle,Moose,Elephant,Orange,2,1,0,9:00:00 AM,12:00:00 AM,Infographics
United States,Philadelphia,English,Windows,Apple iOS,"Finance, Health",Sea Turtle,Moose,Elephant,Orange,2,1,0,9:00:00 AM,12:00:00 AM,Histogram
USA,Long Island New York,English,Apple,Apple iOS,Medical. I find a lot of charts regarding hospitalizations or other statistics around this field are hard to understand.,Dolphin,Llama,Flying squirrel,Black,72,1.6,2,10:00:00 AM,12:00:00 AM,Pie Chart
USA,"Weymouth, MA","English, Cantonese, Mandarin",Apple,Apple iOS,"Medicine/healthcare, climate",Hedgehog,Llama,Cat,navy,12,1,1,8:30:00 AM,1:00:00 AM,zoomable sunbursts
USA,"Richmond, Virginia",English,Apple,Apple iOS,"Criminology, any scientific research really ",Cat,Dog,Hedgehog,pink,21,1.7,1-2,12:00:00 PM,1:00:00 AM,line graph
USA,Barnstable,"English, Urdu, Hindi, Spanish",Windows,Apple iOS,"Marketing, Data/ Business Analytics",Elephant,Dolphin,Cat,Sage Green,21,2,0,9:00:00 AM,1:30:00 AM,scatter plots
USA,"Weymouth, MA","English, Mandarin, Cantonese",Apple,Apple iOS,"Medicine/healthcare, climate/environmental",Hedgehog,Llama,Cat,navy,12,1,1,8:30:00 AM,1:00:00 AM,zoomable sunbursts
India,Noida,English! ,Apple,Apple iOS,"I don't think there's a single field that can't benefit from visualization, definitely business, economics, geography, healthcare are fields that I'm certain could benefit.",Elephant,Sea Turtle,Mouse,I like all!,Don't have one.,1,0,7:30:00 AM,12:00:00 AM,Interactive maps.
,,,,,,,,,,,,,,,
New Zealand,Auckland,"English, Swahili, Spanish",Windows,Apple iOS,IT and/or any industry that requires information processing and data analysis,Elephant,Moose,Cat,Green,17,2,0,9:00:00 AM,12:00:00 AM,Jean Ropke Map
USA,"New Brunswick, NJ","English, Mandarin",Apple,Apple iOS,"psychology, sociology",Hedgehog,Llama,Flying squirrel,purple,24,2,0,9:00:00 AM,1:00:00 AM,network chord diagram
USA,Boston,English,Apple,Apple iOS,,Cat,Elephant,Sea Turtle,blue,13,-1.1,0.5,8:00:00 AM,1:00:00 AM,data
United States,"Carol Stream, IL","English, Spanish",Apple,Andriod,Medical diagnostics,Dog,Moose,Elephant,Green,3,0,1,10:00:00 AM,12:00:00 AM,Wordle https://www.nytimes.com/2022/01/03/technology/wordle-word-game-creator.html
USA,Seattle,English,Apple,Apple iOS,"Science, Health ",Elephant,Sea Turtle,Moose,Blue,3,-0.55,0,9:30:00 AM,2:00:00 AM,A pie chart
United States of America,Baltimore,English,Apple,Apple iOS,Finance,Llama,Hedgehog,Dolphin,Purple,69,0,0,9:30:00 AM,12:00:00 PM,Pie charts
USA,"Lawrence, MA",English,Windows,Apple iOS,"data science, but really all of them",Dog,Cat,Hedgehog,Blue,2,-1,0,10:00:00 AM,11:00:00 AM,pie chart
USA,"Albany, NY",English,Apple,Apple iOS,"healthcare, biomedical research, public policy",Llama,Hedgehog,Sea Turtle,Yellow,8,-1,0,8:10:00 AM,2:30:00 AM,stacked bar graph
China,Beihai,English,Windows,Andriod,Data Science,Elephant,Dolphin,Sea Turtle,Navy,8,-2,0,10:00:00 AM,2:00:00 AM,
USA,Gainesville,"English, Mandarin",Windows,Apple iOS,Business,Cat,Hedgehog,Flying squirrel,Red,7,-4,0.5,8:00:00 AM,11:30:00 PM,"Bar charts. Simple, easy"
United States of America,Needham,,Apple,Apple iOS,Marketing,Elephant,Sea Turtle,Llama,Blue,3,-2.77778,0,9:00:00 AM,12:00:00 AM,Bar Graph
United states,Boston,English,Apple,Apple iOS,"Finance, tech, healthcare",Elephant,Sea Turtle,Hedgehog,Orange,7,-3,0,9:30:00 AM,1:00:00 AM,
USA,"Edison, NJ","English, Gujurati",Apple,Apple iOS,Finance,Elephant,Dolphin,Flying squirrel,Blue,21,0,0,7:30:00 AM,11:00:00 PM,Bar Graphs
USA,Boston,"English, Chinese (Mandarin)",Apple,Apple iOS,"College websites (just the ux/ui), photography, restaurants",Cat,Sea Turtle,Moose,Pastel Mint,13,-3º,0.5,10:00:00 AM,2:00:00 AM,Heat map
United States,New York,"Chinese (first), English, ",Apple,Apple iOS,"Finance, company valuations. Inventories, sales, marketing. ",Llama,Sea Turtle,Flying squirrel,Black,3,Too low,Slightly above 1 depending on how I feel ,7:00:00 AM,1:00:00 AM,Heatmaps
United States,"Newington, CT",English,Apple,Apple iOS,"Education,Medicine,Sports",Dolphin,Elephant,Llama,Purple,14,-3,0,9:30:00 AM,1:30:00 AM,Scatterplot
United States,"Newington, CT",English,Apple,Apple iOS,"Education,Medicine,Sports",Dolphin,Elephant,Llama,Purple,14,-3,0,9:30:00 AM,1:30:00 AM,Scatterplot
China,Beijing,"Chinese, English",Apple,Apple iOS,find out the relationship between data,Cat,Sea Turtle,Elephant,Purple,8,-3°C,0,9:00:00 AM,1:00:00 AM,"The Gaps Between White and Black America, in Charts from New York Times"
USA,"Greenfield, MA",English,Windows,Apple iOS,"Finance, medical",Llama,Sea Turtle,Mouse,Light blue,9,-1,1 (with 4 shots of espresso),10:00:00 AM,2:00:00 AM,"Line charts, heatmaps"
United States,"Providence, RI",English,Apple,Apple iOS,Creating powerful visual slides for clients ,Sea Turtle,Dolphin,Elephant,Blue,16,-1,2,7:30:00 AM,12:00:00 PM,bar chart
USA,Chicago,Englsih,Windows,Apple iOS,"Data Science, Marketing, Finance, Consulting",Sea Turtle,Dolphin,Elephant,Purpler,10,-1,1,9:00:00 AM,12:00:00 AM,Scatterplot
Unites States,New York ,"English, Italian",Windows,Apple iOS,"Every field, Urban informatics",Cat,Flying squirrel,Hedgehog,Yellow,759,0,0,8:15:00 AM,1:00:00 AM,"Not sure, but I do love maps as a whole"
Thailand,Bangkok,"English, Thai, Japanese",Windows,Andriod,,Cat,Llama,Dolphin,Blue,9,-2,0.5,12:00:00 PM,5:00:00 AM,
Venezuela,Caracas,"English, Spanish",Apple,Apple iOS,"Data analytics, climate change, economics. geospatial studies, medicine ",Llama,Cat,Dolphin,Blue,18,-2 degrees,2-3 cups ,7:30:00 AM,12:00:00 AM,
Singapore,Singapore,English,Windows,Apple iOS,"UI/UX, web/ mobile development",Dog,Elephant,Dolphin,Pink,64,-2,0,9:00:00 AM,1:00:00 AM,Fantasy football statistics
Singapore,Singapore,English,Windows,Apple iOS,"UI/UX, Web/ Mobile Development",Dog,Elephant,Dolphin,Pink,64,-2,0,9:00:00 AM,1:00:00 AM,Fantasy Football Statistics
United States,Storrs,"English, Chinese",Apple,Apple iOS,"Finance, healthcare",Dolphin,Cat,Llama,Black,7,-2,1,6:30:00 AM,12:00:00 AM,Violinplot
United States,Rockville,"English, Korean",Windows,Apple iOS,Data Science,Dolphin,Sea Turtle,Dog,Blue,9,-2,0.5,8:00:00 AM,12:00:00 AM,Pie charts
United States,"Manhasset, NY","English, French",Windows,Apple iOS,I believe that unbiased visualization is an extremely powerful tool for influencing public opinion to push for policy change at a political level,Cat,Moose,Hedgehog,Pink,17,-2C,0,8:30:00 AM,1:30:00 AM,https://www.stevengbraun.com/dev/radical-reactions/ This visualization is a really cool intersection of physics and linguistics
America,,English,Windows,Andriod,healthcare,Dog,Elephant,Dolphin,Blue,284,-1.7,0,10:00:00 AM,1:00:00 AM,scatter plot
,,,,,,,,,,,,,,,
United States,"Morristown, NJ","English, Hindi",Apple,Apple iOS,"healthcare, transportation, retail, finance",Dolphin,Elephant,Llama,blue,8,-1,0,8:00:00 AM,12:30:00 AM,maps
USA,Newton,"English, French, Marathi, and Hindi (a few Greek and Mandarin classes!)",Apple,Apple iOS,"Right now, I think with all the discovery of new planets and stars, I think visualization would be a great interactive way to learn more about them.",Llama,Sea Turtle,Elephant,Purple,24,-1,1,10:00:00 AM,11:00:00 PM,I like The Pudding!
USA,"Newton, MA","English, Marathi, Hindi, French (a few classes in Greek and Mandarin!)",Apple,Apple iOS,I think in astronomy with the discovery of planets and stars it might be helpful to create these tools to keep track and learn more.,Llama,Sea Turtle,Elephant,Purple,24,-1,1,10:00:00 AM,11:00:00 PM,I like Pudding.cool!
China,Beihai,"English, Chinese",Windows,Andriod,Data analyst,Elephant,Dolphin,Sea Turtle,Navy,8,-1,0,10:00:00 AM,1:00:00 AM,
USA,"Newton, MA","English, Chinese",Windows,Andriod,Healthcare,Dog,Cat,Dolphin,red,19,-2,2,8:30:00 AM,1:30:00 AM,Scatterplot
Brazil,São Paulo,"Portuguese, English, Spanish",Apple,Apple iOS,Finance,Elephant,Sea Turtle,Dolphin,Blue,69,29,2,8:00:00 AM,12:00:00 AM,The Water Lily Pond by Monet
United States,Chicago,English,Apple,Apple iOS,Epidemiology ,Sea Turtle,Moose,Flying squirrel,Orange,10,1,0,9:00:00 AM,1:00:00 AM,Not sure
United States,Chicago,English,Apple,Apple iOS,Epidemiolegy,Sea Turtle,Moose,Flying squirrel,Orange,10,1,0,9:00:00 AM,1:00:00 AM,Not sure
United States,"San Jose, CA","English, Telugu, Hindi",Apple,Apple iOS,"Analytics, Sciences, Business, Design",Dolphin,Llama,Elephant,White,8,4,0-1,6:00:00 AM,12:00:00 AM,https://www.washingtonpost.com/graphics/national/eclipse/
United States,Arlington,"English, Spanish, Bulgarian",Windows,Apple iOS,,Flying squirrel,Sea Turtle,Elephant,Baby Pink,11,4,0,11:00:00 AM,2:00:00 AM,
Canada,Toronto,English,Apple,Apple iOS,"Finance, Business intelligence",Dog,Moose,Sea Turtle,Blue,13,2,2,8:00:00 AM,12:00:00 AM,Scatter Plot
United States,Chicago,English,Linux/Unix,Andriod,social justice/research,Moose,Llama,Hedgehog,Purple,77,1,1,9:00:00 AM,12:30:00 AM,https://digg.com/travel/link/24-hours-of-flights-between-europe-and-the-united-states-visualized-9ts0HMu9jA
United States,San Francisco,English,Windows,Apple iOS,,Flying squirrel,Sea Turtle,Elephant,Red,8,Too cold,0,9:00:00 AM,12:00:00 AM,
U.S.,"Glendale, AZ",English,Windows,Apple iOS,Political and Social Data,Cat,Elephant,Flying squirrel,Purple,10,-4,1,6:00:00 AM,10:00:00 PM,Histogram
United States,Minneapolis,English,Apple,Apple iOS,"Marketing, Human-Computer Interaction, Research",Hedgehog,Sea Turtle,Dolphin,Cerulean,22,-4,0,7:00:00 AM,11:00:00 PM,Word cloud
USA,Boston,Mandarin,Apple,Apple iOS,"Music, Fitness, City Planning",Sea Turtle,Cat,Moose,Pastel Mint Green,13,-4º,0,10:00:00 AM,2:00:00 AM,Heat Map
USA,"Everett, WA","English, Telugu",Windows,Apple iOS,"Healthcare, psychology, economics, humanities",Cat,Dog,Llama,Green,7,-4,0,9:15:00 AM,2:30:00 AM,After Babylon
Bulgaria,Silistra,"English, Bulgarian",Windows,Apple iOS,Healthcare,Cat,Flying squirrel,Moose,Purple,0,-9,1,9:30:00 AM,1:00:00 AM,I am big into soccer analytics so I really enjoy viewing visualizations of soccer event data and advanced stats.
United States,Lafayette,"English, French ",Apple,Apple iOS,"Big data, cloud computing",Dog,Moose,Dolphin,Blue,2,-8,2,9:30:00 AM,1:00:00 AM,Flow of data among many applications 
Ethiopia,Addis Abeba,"English, Amharic",Windows,Apple iOS,I would be interested in using it for design,Elephant,Cat,Sea Turtle,Yellow,8,24 F,0,8:00:00 AM,12:00:00 AM,polls on map of USA
USA,Yonkers,"English, Korean",Windows,Apple iOS,I think data and business analysts can benefit the most from it because they can convey the meaning of large data sets to their managers,Dog,Cat,Moose,Blue,11,-9,0,10:00:00 AM,3:00:00 AM,Histogram
United States of America,Chicago,"English, Spanish","Use Apple a lot, but more versed on windows",Apple iOS,"Public Service, Finance, Tech",Cat,Dolphin,Flying squirrel,Red,8,-10,1.5,8:00:00 AM,1:00:00 AM,"Object based, whether it be a map with specific regions to click on, or objects on a page that describe the type of data you are looking at"
India,Hyderabad,"English, Telugu ",Apple,Apple iOS,"Marketing, Politcs",Llama,Cat,Elephant,Orange,21,-11.11,0.3,11:00:00 AM,2:30:00 AM,The kobe bryant shot chart.
United States,Colorado Springs,Spanish,Windows,Apple iOS,"Machine Learning, Healthcare",Dog,Flying squirrel,Dolphin,Sunset orange,13,8,0,5:00:00 AM,9:00:00 PM,A mosaic
